Velocity,Altitude,Air density,C_L
186.05816909799768,22794.35628979902,0.05609638290105829,1.2763
185.79788563153355,22771.204287857923,0.05630488989233604,1.2763
185.65480178368628,22745.810783086345,0.05653450061262141,1.2763
185.62458071345813,22718.200451169978,0.05678524912740573,1.2763
185.70218785964687,22688.40881036346,0.057057090826736725,1.2763
185.8819380461461,22656.481963657156,0.05734990184552098,1.2763
186.1575488535173,22622.476319484696,0.05766347822944703,1.2763
186.5221991786227,22586.458288370617,0.05799753490084096,1.2763
186.96859185128858,22548.503952651186,0.058351704488253,1.2763
187.48901917517097,22508.69870618782,0.058725536093041646,1.2763
188.07543030350502,22467.13686084019,0.05911849407546924,1.2763
188.71949944095795,22423.921216386287,0.05952995695171203,1.2763
189.41269397048853,22379.162590581305,0.059959216501452015,1.2763
